q_code,e_text
I,"RWY36ILS仅供测试,不可使用,因校飞."
M,"RWY17L/35R关闭(允许从P1,P2,P5,P6滑行道穿越RWY17L/35R)跑道关闭期间,设置跑道临时关闭标志."
M,关闭下列滑行道:1.Z4滑行道.2.Z5滑行道.3.T4滑行道以北的Z1滑行道.4.T4滑行道以北的Z2滑行道.5.T4滑行道以北的Z3滑行道.6.C滑行道以西的Z6滑行道.7.Z7滑行道与T4滑行道之间的C滑行道.
M,"3号,4号停机位关闭,因日常维护."
M,关闭J14滑行道与T3滑行道之间的J滑行道.
M,关闭A滑行道.
M,滑行道恢复正常使用.
I,CNL.
F,CNL
I,"RWY36ILS仅供测试,不可使用,因校飞."
M,滑行道恢复正常使3938
M,关闭下列滑行道:1.E滑行道以东的Y6滑行道.2.E滑行道以东的Y7滑行道.3.E滑行道以东的Y8滑行道.4.E6滑行道以北的Y5滑行道.
M,关闭B5、B6滑行道，设置关闭标志和标记牌.
I,"RWY03ILS仅供测试,不提供使用,因场务作业."
I,"DME21'IXH'CH32Y仅供测试,不可使用,因校飞."
I,RWY25ILS仅供测试，不可使用，因飞行校验.
O,"机场半径15千米以内新增临时超高障碍物(相对机场基准点):障碍物名称磁方位(度)距离(米)坐标海拔高度(米)树木3211,265N294431.0E1181449.0143.0障碍物未安装障碍物灯."
N,CNL.
I,RWY17R/35LILS不工作.
M,1.关闭F0滑行道与F1滑行道之间的Z0滑行道.2.关闭Z0滑行道与Z3滑行道之间的F0滑行道.
M,RWY17R/35L关闭.
F,"机场不接受非紧急备降,因助航灯光维护."
M,"关闭下列滑行道或滑行线:1.D16滑行道至D15滑行道之间的D滑行道;2.261机位至D滑行道之间的M4,Y2滑行线;"
I,"RWY18LILS不提供使用,因设备维护."
M,"关闭B6滑行道，关闭区域设关闭标志和警示灯,因施工."
M,"RWY06/24关闭,因维护."
I,"DME24'IHZ'CH52X仅供测试,不可使用,因校飞."
M,关闭D8滑行道至D10滑行道之间的D滑行道
M,"关闭下列滑行道,因道面维护:1.A4至C5段的B滑行道;2.A5滑行道."
A,"下列航路（线）段高度在6,600M(不含)以下禁航：1.W64航路（VALNI-UBRAG)段，2.W69航路(DUDIL-TOREL）段.F)FL000G)FL216"
N,"九亭VOR/DME'JTN'109.6MHZ/CH33X仅供测试,不提供使用,因维护."
M,关闭下列滑行道或滑行线:1.位于C滑行道以西的P4滑行道;2.317机位至320机位之间的L15滑行线;
M,关闭下列滑行道:1.F2滑行道.2.F3滑行道.3.F4滑行道.4.F5滑行道.5.F6滑行道.6.F7滑行道.7.Q7滑行道.8.Q8滑行道.9.Q9滑行道.10.Q滑行道.11.P滑行道.12.B滑行道以东的T1滑行道.13.B滑行道以东的T2滑行道.
M,320停机位关闭.
I,"RWY09DME'IJQ'CH22X仅供测试,不可使用."
I,"DME17R'IKM'CH48X仅供测试,不可使用,因校飞."
M,关闭Z7滑行道与Z3滑行道之间的Z2滑行道.
I,"RWY13ILS仅供测试,不可使用,因校飞."
M,"RWY13/31关闭,因道面积雪."
A,"下列航路（线）段高度在6,600M(不含)以下禁航：1.W64航路（VALNI-UBRAG)段，2.W69航路(DUDIL-TOREL）段.F)FL000G)FL216"
M,1、2、3、5、6、12、23A、201号机位关闭.
M,关闭T2滑行道与K3滑行道之间的K滑行道.
M,309停机位关闭.
M,关闭320机位至323机位之间的L15滑行4848
I,DME03'IEE'CH54X不提供使用，因校飞.
I,"IM06仅供测试,不可使用,因校飞."
M,关闭H1滑行道至K4滑行道之间的A滑行道.
M,下列滑行道关闭：1.G0滑行道以南的Y1滑行道.2.T1滑行道以南的G滑行道.
I,"RWY22ILS不工作,因施工."
M,关闭下列滑行道或滑行线:1.P4滑行道至P6滑行道之间的B滑行道(允许从B5滑行道穿越B滑行道);2.B滑行道至L04滑行线之间的B6滑行道(包含B滑行道与B6滑行道之间的交叉道口);3.B滑行道至L04滑行线之间的P5滑行道(包含B滑行道与P5滑行道之间的交叉道口);
I,RWY07ILS不工作，因施工9975
A,"下列航路（线）段高度在6,600M(不含)以下禁航：1.W64航路（VALNI-UBRAG)段，2.W69航路(DUDIL-TOREL）段.F)FL000G)FL216"
P,CNL.
X,CNL
L,"RWY31PAPI不提供使用,因校飞."
